decade,n,english_token_share,min_share
1950,138,0.995114298682136,0.9797824577644064
1960,1197,0.9976358050447461,0.9888268156424581
1970,1063,0.9977584954670219,0.9912946138870863
1980,896,0.9986326872540369,0.9940878566310796
1990,804,0.9976660108601327,0.9886111111111111
2000,853,0.9973056535476146,0.9895602992154716
2010,1216,0.9970382672657133,0.9876160594224244
2020,1104,0.9949639877046363,0.9816549786252942
