decade,n,independence,heartbreak,devotion,longing,casual,conflict
1950,155,0.02223971180059717,0.27490912631442294,0.254770868492795,0.3167029079579385,0.035489419706607815,0.06473938725172011
1960,1059,0.047782419917926415,0.3319819394796231,0.22396375521467363,0.388281079609524,0.017164919032379315,0.18832222467992693
1970,862,0.04982115967979623,0.30681082944227234,0.17565493238536037,0.3765417583749702,0.05766267604708123,0.14803363278802492
1980,916,0.0749111656189961,0.35097507974109793,0.21483697375538602,0.4837171942325269,0.07502075133834474,0.22818194959989554
1990,780,0.09197968724810575,0.3527194502660003,0.26675902788973077,0.4409015798807029,0.13179812187651135,0.21896159116556504
2000,760,0.1595245614596159,0.3464598957417209,0.18564509810192367,0.46441106864736076,0.2352067575995011,0.3428240481634872
2010,949,0.19895817449175077,0.29409749060972384,0.15223289637657156,0.4535735631519078,0.2433216425928555,0.4103283397921607
2020,786,0.17541707352831343,0.36905647746793285,0.10980285305678729,0.4867153333130479,0.2267756917570061,0.4894220582174066
