decade,casual,conflict,devotion,heartbreak,independence,longing,n
1950,0.039954150974291794,0.08842312100867857,0.3073795098520823,0.1926614267780143,0.08086348998417117,0.29071830140276184,114
1960,0.024825135115273872,0.1256867107141346,0.22688677039422261,0.2746197064541343,0.09282480553866847,0.25515687178356616,875
1970,0.09864902714199437,0.10716755214396373,0.19737682821156927,0.22795424110073434,0.08480669753437607,0.2840456538673622,690
1980,0.05347781757811443,0.1413178623309363,0.20350082558129043,0.245815701383187,0.07456938943075493,0.2813184036957169,705
1990,0.1065658244680851,0.1175894584139265,0.25557452852998064,0.23102786508704062,0.06593477998065764,0.2233075435203095,599
2000,0.13433803585948212,0.2052973155836217,0.13166281878557312,0.2136286211132939,0.06254191618543424,0.252531292472595,593
2010,0.11748249012012364,0.2972336346206519,0.11798202710281593,0.13029046184346102,0.09520548838543909,0.24180589792750845,781
2020,0.09491727218426774,0.30691044238817616,0.08802311994577995,0.1932856427469617,0.07122817673002395,0.2456353460047905,667
