decade,cla,dan,hip,jaz,pop,rhy,roc,spe
1950,0.32475234828326865,0.0,0.0,0.16746278545400142,0.10897744151999915,0.3632118317143804,0.03559559302835038,0.0
1960,0.13448742007141412,0.012321308542457415,0.031734053638046884,0.13053440646075348,0.18109649900924785,0.3690645450661043,0.13859035834493166,0.00217140886704431
1970,0.06576052782827564,0.014256912701858821,0.046747106907927334,0.08667835374367826,0.21134571346722422,0.4442632727298934,0.1309481126211423,0.0
1980,0.04087839642293048,0.03903034557482622,0.09985884004669723,0.025616334877190842,0.35930167789587736,0.2697604858954501,0.16555391928702778,0.0
1990,0.01690323630939893,0.07941333938658128,0.22374317719851558,0.011239780844909597,0.23647678040581982,0.33379076627469595,0.09843291958007885,0.0
2000,0.011171189768045363,0.06838575412639969,0.2694092444833891,0.021058540530976434,0.2745014197005569,0.20272017996916258,0.15275367142146992,0.0
2010,0.01410167355185593,0.11484773145482778,0.14441655576706028,0.020735831687593083,0.374735302540402,0.2594436423559536,0.0717192626423074,0.0
2020,0.0028622390095477913,0.11465743363760361,0.0927415801070192,0.00474241947329766,0.42920155282761513,0.3238652817123072,0.03192949323260938,0.0
