decade,n,mean,ci_lo,ci_hi,metric,variant
1950,556,0.6398508818442505,0.6299733255676612,0.6490887617849119,lyric_valence,weighted_all
1960,4823,0.6313317725608618,0.6285953647315684,0.6344428192407079,lyric_valence,weighted_all
1970,4140,0.6376970594917887,0.6348085408090859,0.6404943441930462,lyric_valence,weighted_all
1980,3613,0.628074315644223,0.6252673412449365,0.630847671396352,lyric_valence,weighted_all
1990,3042,0.6265065804333801,0.6237107210000837,0.6296300566568264,lyric_valence,weighted_all
2000,3173,0.6075152810031977,0.6044593449244638,0.6101548542381363,lyric_valence,weighted_all
2010,4124,0.60083004423276,0.5971968774113621,0.6041970487856083,lyric_valence,weighted_all
2020,3740,0.592242463507523,0.5883494550119639,0.5965696700245415,lyric_valence,weighted_all
1950,556,0.6382092246896413,0.6317383393876911,0.6449277542181862,lyric_valence,unweighted_all
1960,4823,0.6325397530262337,0.6302707276508084,0.6345219083472922,lyric_valence,unweighted_all
1970,4140,0.6365774564834604,0.6344211114861742,0.6389847897574495,lyric_valence,unweighted_all
1980,3613,0.6267306780096303,0.624552964356502,0.6288555210510558,lyric_valence,unweighted_all
1990,3042,0.6227869097377382,0.6202422968334494,0.6253769402682698,lyric_valence,unweighted_all
2000,3173,0.6066959218541808,0.6048011749365406,0.6086731375175128,lyric_valence,unweighted_all
2010,4124,0.5948620482594492,0.5928258989363421,0.596890874144814,lyric_valence,unweighted_all
2020,3740,0.5808865729769511,0.5790311926030148,0.5827251954129654,lyric_valence,unweighted_all
1950,554,0.019575812521502024,0.016789497380027114,0.022759326177705597,lyric_sadness,weighted_all
1960,4823,0.019227432946040915,0.018246833791936874,0.020251274000360964,lyric_sadness,weighted_all
1970,4137,0.019112593174525835,0.018157794009223925,0.019966417684627702,lyric_sadness,weighted_all
1980,3613,0.018425278916522847,0.017471254984355894,0.01937363565344294,lyric_sadness,weighted_all
1990,3042,0.015931327259718766,0.015097342618748864,0.016675420968236994,lyric_sadness,weighted_all
2000,3173,0.016718319646578703,0.015796930261209926,0.017643458423060258,lyric_sadness,weighted_all
2010,4122,0.017959017123481406,0.017001193692082757,0.0188603020285676,lyric_sadness,weighted_all
2020,3740,0.019243797236932637,0.01809489262849266,0.020362422624437982,lyric_sadness,weighted_all
1950,554,0.019457663279025397,0.017476756959985223,0.021705563806018718,lyric_sadness,unweighted_all
1960,4823,0.019726370849444272,0.018974813813185717,0.02048949913309761,lyric_sadness,unweighted_all
1970,4137,0.019313038178882403,0.018546080214928762,0.02006649773938671,lyric_sadness,unweighted_all
1980,3613,0.01830010251962892,0.017627629762612045,0.01902231980485746,lyric_sadness,unweighted_all
1990,3042,0.016767497480374906,0.01615178185670335,0.01742878562641133,lyric_sadness,unweighted_all
2000,3173,0.017178135882548805,0.01653220751094472,0.01782228481040772,lyric_sadness,unweighted_all
2010,4122,0.019075136381740347,0.018497971197797596,0.01966601528251399,lyric_sadness,unweighted_all
2020,3740,0.01991779778521267,0.01939023370801815,0.020434827093338312,lyric_sadness,unweighted_all
1950,554,0.05328117300523011,0.04819782663063088,0.05814053699590413,lyric_joy,weighted_all
1960,4823,0.050307712704567825,0.048777741072339884,0.051813000719994784,lyric_joy,weighted_all
1970,4137,0.04801888860659382,0.046278091419915485,0.049660040194039676,lyric_joy,weighted_all
1980,3613,0.04078064041692776,0.03930293114989235,0.042222063705661755,lyric_joy,weighted_all
1990,3042,0.04033186530193997,0.03875799755213697,0.04194405573294362,lyric_joy,weighted_all
2000,3173,0.02969383099676915,0.028492204212292815,0.031072247654615266,lyric_joy,weighted_all
2010,4122,0.030564412969270864,0.029279301619040844,0.03213224829395265,lyric_joy,weighted_all
2020,3740,0.027003015877288546,0.025277535234186698,0.028854018908265618,lyric_joy,weighted_all
1950,554,0.053772185729883765,0.04992246770683825,0.05807913942767197,lyric_joy,unweighted_all
1960,4823,0.04986209611033288,0.04865585443789636,0.05107627588518699,lyric_joy,unweighted_all
1970,4137,0.04807465562212776,0.04667494831476888,0.04934879381807556,lyric_joy,unweighted_all
1980,3613,0.04064248329943292,0.03950696212871346,0.04180233064804877,lyric_joy,unweighted_all
1990,3042,0.0398243484061939,0.03854828439545974,0.04110849899598046,lyric_joy,unweighted_all
2000,3173,0.02972238300993841,0.0288325599583298,0.03067412188703661,lyric_joy,unweighted_all
2010,4122,0.02912127505346781,0.0283529161130509,0.029889580796383087,lyric_joy,unweighted_all
2020,3740,0.024640582441092088,0.023995686746203955,0.025343785402710445,lyric_joy,unweighted_all
1950,555,1.0929486514655027,0.9818552097115325,1.1957603583456107,vader_valence,weighted_all
1960,4817,0.9542595714621751,0.9194259667554011,0.9868976502080039,vader_valence,weighted_all
1970,4129,0.8918870755961171,0.8563063527862815,0.9304953415185442,vader_valence,weighted_all
1980,3610,0.8135439709711607,0.7773903978607168,0.851855273462433,vader_valence,weighted_all
1990,3037,0.7280867622554782,0.6870927433040187,0.766943319078714,vader_valence,weighted_all
2000,3173,0.5051221276465755,0.4654458835424041,0.5414083471621424,vader_valence,weighted_all
2010,4120,0.4725482069952151,0.43214148193577984,0.5116874419123181,vader_valence,weighted_all
2020,3740,0.28987435499805686,0.23384343553671,0.3452513474457084,vader_valence,weighted_all
