decade,n,pct_non_english
1950,142,0.028169014084507043
1960,1212,0.012376237623762377
1970,1084,0.01937269372693727
1980,900,0.0044444444444444444
1990,811,0.008631319358816275
2000,863,0.011587485515643106
2010,1254,0.030303030303030304
2020,1190,0.07226890756302522
