peak_band,n_songs,coverage_lyrics
#1,1194,0.8442211055276382
#2-5,2010,0.835820895522388
#6-10,2094,0.8438395415472779
#11-25,4771,0.8381890588975057
#26-50,7261,0.7952072717256576
#51-100,15272,0.7198140387637506
